scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10237063148734347;;0.07308953099359479;;0.8174409808974104;;0.10237063148734347;0.07308953099359479;0.8174409808974104;;;;0.00332;;0.01;100000;uniform;gt_only
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10536733853707038;;0.07368455919990988;;0.8112433420710047;;0.10536733853707038;0.07368455919990988;0.8112433420710047;;;;0.0025;;0.01;100000;uniform;gt_only
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10348428289785777;;0.07327837113600094;;0.8182699116469995;;0.10348428289785777;0.07327837113600094;0.8182699116469995;;;;0.00358;;0.01;100000;uniform;gt_only
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10629564830786303;;0.07503898042445373;;0.8174550594810974;;0.10629564830786303;0.07503898042445373;0.8174550594810974;;;;0.00255;;0.01;100000;uniform;gt_only
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.1075792287205269;;0.07539608220970065;;0.8264836626242287;;0.1075792287205269;0.07539608220970065;0.8264836626242287;;;;0.00284;;0.01;100000;uniform;gt_only
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10963976343219936;;0.07283111100440168;;0.8126762410749625;;0.10963976343219936;0.07283111100440168;0.8126762410749625;;;;0.00369;;0.01;100000;uniform;gt_only
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10463771449828588;;0.07441712237576584;;0.8323867489030513;;0.10463771449828588;0.07441712237576584;0.8323867489030513;;;;0.00285;;0.01;100000;uniform;gt_only
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10611799520369747;;0.07240619456066028;;0.8436316354167148;;0.10611799520369747;0.07240619456066028;0.8436316354167148;;;;0.00329;;0.01;100000;uniform;gt_only
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.09982085259341662;;0.0714274711812265;;0.8622750881897051;;0.09982085259341662;0.0714274711812265;0.8622750881897051;;;;0.00388;;0.01;100000;uniform;gt_only
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10872141941371904;;0.08069285394997248;;0.689350454860137;;0.10872141941371904;0.08069285394997248;0.689350454860137;;;;0.00317;;0.01;100000;uniform;gt_only
