scene,mesh_a,mesh_b,mesh_path_a,mesh_path_b,mean_a_to_b,mean_b_to_a,median_a_to_b,median_b_to_a,max_a_to_b,max_b_to_a,pred_to_gt_mean,gt_to_pred_mean,gt_to_pred_median,gt_to_pred_max,chamfer,hausdorff,precision,recall,fscore,threshold,sample_points,sampling_method,semantics,roi_pred_to_gt_mean,roi_pred_to_gt_median,roi_pred_to_gt_max,roi_precision,roi_num_pred_points,aligned_with_icp,icp_fitness,icp_inlier_rmse,icp_threshold,icp_sample_points,aligned_mesh_path,used_global_registration,global_registration_fitness,global_registration_inlier_rmse,global_registration_voxel_size
NewBlend_BRDFFixedRoughness0.04_iter15000,NewBlend_BRDFFixedRoughness0.04_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFFixedRoughness0.04\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.286934316859257,0.11244977684538558,5.376026233751129,0.07744726939226262,15.237260441055044,0.8390552747597328,5.286934316859257,0.11244977684538558,0.07744726939226262,0.8390552747597328,5.399384093704642,15.237260441055044,0.00855,0.01706,0.011391097227645449,0.02,100000,uniform,pred_gt,0.8555706775269487,0.6049674111904473,3.9206019429586423,0.0533508049419693,16026,False,,,,,,False,,,
NewBlend_BRDFFull_iter15000,NewBlend_BRDFFull_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.211420514092579,0.10357222966442613,5.2907770689501605,0.07394166968730112,13.750736970990957,0.817617672065921,5.211420514092579,0.10357222966442613,0.07394166968730112,0.817617672065921,5.314992743757005,13.750736970990957,0.01201,0.02479,0.016180864130434784,0.02,100000,uniform,pred_gt,0.8857981994685039,0.6330713528297551,3.926231355625981,0.07008636788048553,17136,False,,,,,,False,,,
NewBlend_BRDFFull-Evenfiner_iter15000,NewBlend_BRDFFull-Evenfiner_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,4.923699667160889,0.10509318335389778,4.8804830919190785,0.07331056463273714,13.053500095335838,0.8048190945222007,4.923699667160889,0.10509318335389778,0.07331056463273714,0.8048190945222007,5.028792850514787,13.053500095335838,0.01151,0.02252,0.015233923009109607,0.02,100000,uniform,pred_gt,0.8812060942666968,0.6334477926526128,3.891880914884574,0.05569534501112939,20666,False,,,,,,False,,,
NewBlend_BRDFFull-Highdetail_iter15000,NewBlend_BRDFFull-Highdetail_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.1840185725678065,0.10267215941232666,5.22858725716353,0.07279360762860508,13.729883769956372,0.8178425974027503,5.1840185725678065,0.10267215941232666,0.07279360762860508,0.8178425974027503,5.2866907319801335,13.729883769956372,0.01189,0.02395,0.01589093191964286,0.02,100000,uniform,pred_gt,0.872262483717525,0.6290937688038666,3.9713409644956164,0.06800892295372647,17483,False,,,,,,False,,,
NewBlend_BRDFFull-Saferfiner_iter15000,NewBlend_BRDFFull-Saferfiner_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.284858299474198,0.10625895652942045,5.405938850695084,0.0750571272914253,13.91853302411349,0.816389281520298,5.284858299474198,0.10625895652942045,0.0750571272914253,0.816389281520298,5.391117256003619,13.91853302411349,0.01079,0.0217,0.01441323484148969,0.02,100000,uniform,pred_gt,0.900082111031988,0.6747827136868669,3.9320896145531723,0.05996776524203857,17993,False,,,,,,False,,,
NewBlend_BRDFLearnableRoughness_iter15000,NewBlend_BRDFLearnableRoughness_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFLearnableRoughness\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.871824452236328,0.10608373377157415,6.082569655451141,0.07250978518599502,14.65486213215111,0.836677344394213,5.871824452236328,0.10608373377157415,0.07250978518599502,0.836677344394213,5.977908186007902,14.65486213215111,0.01075,0.02277,0.01460486276849642,0.02,100000,uniform,pred_gt,0.894594537322272,0.6393719031044787,3.8626676745010586,0.06465387622541649,16627,False,,,,,,False,,,
NewBlend_BRDFReadyRoughness0_iter15000,NewBlend_BRDFReadyRoughness0_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.59075173810936,0.10760459552981001,5.779888522942782,0.07517306524284126,15.57846609249425,0.8221976988029447,5.59075173810936,0.10760459552981001,0.07517306524284126,0.8221976988029447,5.69835633363917,15.57846609249425,0.01139,0.02279,0.015188888238736105,0.02,100000,uniform,pred_gt,0.8957817971375535,0.666074175647154,3.9501350892179015,0.06971904266389178,16337,False,,,,,,False,,,
NewBlend_BRDFRoughness1.0AddMetallic0.4_iter15000,NewBlend_BRDFRoughness1.0AddMetallic0.4_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFRoughness1.0AddMetallic0.4\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,10.910261272793594,7.326591709259411,11.49803273570599,7.053372674880958,17.611246031956576,9.76439372832548,10.910261272793594,7.326591709259411,7.053372674880958,9.76439372832548,18.236852982053005,17.611246031956576,0.0,0.0,0.0,0.02,100000,uniform,pred_gt,,,,,0,False,,,,,,False,,,
NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000,NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.1\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,5.782904717330143,0.09553236778680334,5.973223730187486,0.0662028884421275,16.644055434575996,0.8540454204136796,5.782904717330143,0.09553236778680334,0.0662028884421275,0.8540454204136796,5.878437085116946,16.644055434575996,0.01353,0.02763,0.01816491253644315,0.02,100000,uniform,pred_gt,0.8725635506846948,0.6165217568951343,3.8781988358587793,0.07899346099953293,17128,False,,,,,,False,,,
NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000,NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000,blender_GTMeshAligned,output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.4\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply,4.1881503215490605,0.11960406814377143,2.972387930787023,0.0968728216919832,15.532748821601876,0.46754064997430106,4.1881503215490605,0.11960406814377143,0.0968728216919832,0.46754064997430106,4.307754389692832,15.532748821601876,0.0119,0.02261,0.015593103448275865,0.02,100000,uniform,pred_gt,0.8810062209258515,0.5591255035745823,3.951596277089517,0.03203316374599585,37149,False,,,,,,False,,,
