scene,mesh_a,mesh_b,mesh_path_a,mesh_path_b,mean_a_to_b,mean_b_to_a,median_a_to_b,median_b_to_a,max_a_to_b,max_b_to_a,pred_to_gt_mean,gt_to_pred_mean,gt_to_pred_median,gt_to_pred_max,chamfer,hausdorff,precision,recall,fscore,threshold,sample_points,sampling_method,semantics,roi_pred_to_gt_mean,roi_pred_to_gt_median,roi_pred_to_gt_max,roi_precision,roi_num_pred_points,aligned_with_icp,icp_fitness,icp_inlier_rmse,icp_threshold,icp_sample_points,aligned_mesh_path,used_global_registration,global_registration_fitness,global_registration_inlier_rmse,global_registration_voxel_size
NewBlend_BRDFFixedRoughness0.04_iter15000,NewBlend_BRDFFixedRoughness0.04_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFFixedRoughness0.04\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.0288476175830121,,0.10131321472256735,,11.139997691487272,,1.0288476175830121,0.10131321472256735,11.139997691487272,,,,0.03734,,0.02,100000,uniform,gt_only,0.15169054364088294,0.06454444434915449,2.1982069459653344,0.04512669866972367,83742,False,,,,,,False,,,
NewBlend_BRDFFull_iter15000,NewBlend_BRDFFull_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.267490441804843,,0.19743509889396185,,10.167200664674324,,1.267490441804843,0.19743509889396185,10.167200664674324,,,,0.02821,,0.02,100000,uniform,gt_only,0.2497227162847791,0.07286591676692318,2.2007692554536846,0.03290120492946476,87474,False,,,,,,False,,,
NewBlend_BRDFFull-Evenfiner_iter15000,NewBlend_BRDFFull-Evenfiner_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.5874569469423987,,0.25091859694246066,,12.838907920782946,,1.5874569469423987,0.25091859694246066,12.838907920782946,,,,0.0437,,0.02,100000,uniform,gt_only,0.21677659249265036,0.06388103564007422,2.20217897081238,0.05091380866425993,88640,False,,,,,,False,,,
NewBlend_BRDFFull-Highdetail_iter15000,NewBlend_BRDFFull-Highdetail_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.2711476010635057,,0.20619933807490115,,10.084808942219812,,1.2711476010635057,0.20619933807490115,10.084808942219812,,,,0.02787,,0.02,100000,uniform,gt_only,0.2514106442397046,0.07260686916951889,2.2009697578275973,0.03253442237711183,87661,False,,,,,,False,,,
NewBlend_BRDFFull-Saferfiner_iter15000,NewBlend_BRDFFull-Saferfiner_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.1828335924201536,,0.1591772991478392,,9.880421159944193,,1.1828335924201536,0.1591772991478392,9.880421159944193,,,,0.04201,,0.02,100000,uniform,gt_only,0.23482373100553128,0.06623816146728481,2.200438400393039,0.04865743018293729,87407,False,,,,,,False,,,
NewBlend_BRDFLearnableRoughness_iter15000,NewBlend_BRDFLearnableRoughness_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFLearnableRoughness\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,0.8674962332855998,,0.09420256337315164,,8.728448766478989,,0.8674962332855998,0.09420256337315164,8.728448766478989,,,,0.02852,,0.02,100000,uniform,gt_only,0.19430848877313647,0.07150315332386502,2.199965674607707,0.0311181663984691,91972,False,,,,,,False,,,
NewBlend_BRDFReadyRoughness0_iter15000,NewBlend_BRDFReadyRoughness0_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.015296031822642,,0.09692856422342228,,10.461804435304977,,1.015296031822642,0.09692856422342228,10.461804435304977,,,,0.02891,,0.02,100000,uniform,gt_only,0.20861609823009786,0.0701252666338742,2.2027633153562456,0.032837628692550976,89166,False,,,,,,False,,,
NewBlend_BRDFRoughness1.0AddMetallic0.4_iter15000,NewBlend_BRDFRoughness1.0AddMetallic0.4_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFRoughness1.0AddMetallic0.4\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.54275460971273,,8.356089575025539,,14.434400283896991,,8.54275460971273,8.356089575025539,14.434400283896991,,,,0.0,,0.02,100000,uniform,gt_only,,,,,0,False,,,,,,False,,,
NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000,NewBlend_BRDFTrialBackRoughnessAddMetallic0.1_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.1\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,0.8746872346482379,,0.08358436958912177,,11.042235589982994,,0.8746872346482379,0.08358436958912177,11.042235589982994,,,,0.04387,,0.02,100000,uniform,gt_only,0.1640620550238954,0.06294027533854654,2.1999980024601395,0.04914564686737185,92175,False,,,,,,False,,,
NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000,NewBlend_BRDFTrialBackRoughnessAddMetallic0.4_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFTrialBackRoughnessAddMetallic0.4\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,3.6867267966385837,,2.89229899975071,,15.51004716500706,,3.6867267966385837,2.89229899975071,15.51004716500706,,,,0.02913,,0.02,100000,uniform,gt_only,0.19797081186897694,0.07267966390170887,1.9659718044212204,0.037933130699088144,82250,False,,,,,,False,,,
NewBlend_BRDFTrialBitMoreRoughnes0.1_iter15000,NewBlend_BRDFTrialBitMoreRoughnes0.1_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_BRDFTrialBitMoreRoughnes0.1\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.1771537245707901,,0.09157877082125898,,12.11087651768509,,1.1771537245707901,0.09157877082125898,12.11087651768509,,,,0.0425,,0.02,100000,uniform,gt_only,0.194633581509247,0.06468150668782702,2.2020500981009175,0.04757093911973996,91064,False,,,,,,False,,,
NewBlend_FalloffAndSpotOff_iter15000,NewBlend_FalloffAndSpotOff_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.5491707111891115,,0.18158928659377288,,13.61057330335551,,1.5491707111891115,0.18158928659377288,13.61057330335551,,,,0.02894,,0.02,100000,uniform,gt_only,0.20891523640651133,0.07265154068673425,2.202010872471845,0.03199824185484314,91005,False,,,,,,False,,,
NewBlend_FalloffOff_iter15000,NewBlend_FalloffOff_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.0833490570622832,,0.13504257555732413,,9.70503571038815,,1.0833490570622832,0.13504257555732413,9.70503571038815,,,,0.02869,,0.02,100000,uniform,gt_only,0.19173946414783125,0.07218164482534328,2.200948645748429,0.031756903674711894,91980,False,,,,,,False,,,
NewBlend_FullBRDFOnlyCenterCam_iter15000,NewBlend_FullBRDFOnlyCenterCam_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.1231963978014001,,0.10166872772444464,,10.484413292490546,,1.1231963978014001,0.10166872772444464,10.484413292490546,,,,0.03209,,0.02,100000,uniform,gt_only,0.16667980002319485,0.06774661312825837,2.2005313980572563,0.035911358318986446,90612,False,,,,,,False,,,
NewBlend_ImproveLoss_iter15000,NewBlend_ImproveLoss_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.563081695426233,,0.4797443759831499,,12.051158040102449,,1.563081695426233,0.4797443759831499,12.051158040102449,,,,0.02817,,0.02,100000,uniform,gt_only,0.22692203807550854,0.07790815581130946,2.199957910698655,0.031003302831772158,92345,False,,,,,,False,,,
NewBlend_ImproveLossLastV3Finished_iter15000,NewBlend_ImproveLossLastV3Finished_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.8152904572299657,,0.5564276566310851,,10.676093585468047,,1.8152904572299657,0.5564276566310851,10.676093585468047,,,,0.01941,,0.02,100000,uniform,gt_only,0.18207365602579642,0.0882167818895986,2.2018014755560453,0.021495002926702367,92254,False,,,,,,False,,,
NewBlend_ImproveLossV2_iter15000,NewBlend_ImproveLossV2_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.3592344370923133,,0.11101576913558817,,10.688265345783655,,1.3592344370923133,0.11101576913558817,10.688265345783655,,,,0.02789,,0.02,100000,uniform,gt_only,0.2960173600101868,0.07151892617986072,2.203672914577443,0.03259295306290336,86307,False,,,,,,False,,,
NewBlend_IntroduceGGXFresnel_iter15000,NewBlend_IntroduceGGXFresnel_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.0744643686402238,,0.09608856371542035,,10.927069378622189,,1.0744643686402238,0.09608856371542035,10.927069378622189,,,,0.02878,,0.02,100000,uniform,gt_only,0.17001055594732353,0.06997729957975489,2.202065309309758,0.03180674162242958,90987,False,,,,,,False,,,
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000,NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,0.9491410568203029,,0.09753345812307426,,8.660643710220151,,0.9491410568203029,0.09753345812307426,8.660643710220151,,,,0.02665,,0.02,100000,uniform,gt_only,0.16662887098388018,0.07291186179689543,2.2002259124456094,0.03079205870850491,86938,False,,,,,,False,,,
NewBlend_IntroduceGGXFresnelCompletely_iter15000,NewBlend_IntroduceGGXFresnelCompletely_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.8602704835004786,,0.4298718482364715,,13.77102743493984,,1.8602704835004786,0.4298718482364715,13.77102743493984,,,,0.02576,,0.02,100000,uniform,gt_only,0.2565944540910145,0.07554854676399261,2.2013329599870812,0.0304063590276288,88567,False,,,,,,False,,,
NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000,NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.4580306393156457,,0.1542490275055545,,10.812142187948803,,1.4580306393156457,0.1542490275055545,10.812142187948803,,,,0.03041,,0.02,100000,uniform,gt_only,0.22725986865122952,0.07225266927959693,2.203012816791085,0.03291836887873816,93261,False,,,,,,False,,,
NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000,NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,0.9726559273300178,,0.098345541237517,,10.216053590709027,,0.9726559273300178,0.098345541237517,10.216053590709027,,,,0.02864,,0.02,100000,uniform,gt_only,0.22070464178708146,0.07399485680989776,2.2009258751039384,0.03137858398000502,91623,False,,,,,,False,,,
NewBlend_SpotOff_iter15000,NewBlend_SpotOff_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.3629117068056509,,0.12172406611252047,,11.930748805917903,,1.3629117068056509,0.12172406611252047,11.930748805917903,,,,0.02933,,0.02,100000,uniform,gt_only,0.19658212204464315,0.07039831447525277,2.2006334164440697,0.032495604966664086,90443,False,,,,,,False,,,
NewBlendTest_Standard2DGS_iter15000,NewBlendTest_Standard2DGS_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.99979849196894,,0.4432026339035253,,13.384387806851713,,1.99979849196894,0.4432026339035253,13.384387806851713,,,,0.03608,,0.02,100000,uniform,gt_only,0.2995948652003589,0.07069947265118803,2.2011333730710803,0.042459482579243056,86506,False,,,,,,False,,,
NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000,NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000,blender_GTMeshExtractedInclFloor,output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,1.3868229716224587,,0.14224096830063096,,11.014615755592168,,1.3868229716224587,0.14224096830063096,11.014615755592168,,,,0.02772,,0.02,100000,uniform,gt_only,0.23833265545779336,0.07192865827960879,2.201448038537482,0.031044430360382017,91514,False,,,,,,False,,,
Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000,Outside(Ambient)GaussianActuallyMoveTestTbehind_iter15000,blender_GTMeshExtractedInclFloor,output\Outside(Ambient)GaussianActuallyMoveTestTbehind\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,7.7609476819952405,,7.973765593973882,,18.82260501520608,,7.7609476819952405,7.973765593973882,18.82260501520608,,,,0.0,,0.02,100000,uniform,gt_only,1.4151902077021454,1.4720980130151804,2.201237133887361,0.0,7931,False,,,,,,False,,,
OutsideConsistencyLossCheap_iter15000,OutsideConsistencyLossCheap_iter15000,blender_GTMeshExtractedInclFloor,output\OutsideConsistencyLossCheap\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.062926541938301,,8.194265315677677,,19.59667169812965,,8.062926541938301,8.194265315677677,19.59667169812965,,,,0.0,,0.02,100000,uniform,gt_only,1.5778281783497927,1.5884952435248683,2.201685345228683,0.0,5746,False,,,,,,False,,,
OutsideConsistencyLossMoreCostly_iter15000,OutsideConsistencyLossMoreCostly_iter15000,blender_GTMeshExtractedInclFloor,output\OutsideConsistencyLossMoreCostly\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.07450248352202,,8.271827176481526,,19.555945494754443,,8.07450248352202,8.271827176481526,19.555945494754443,,,,1e-05,,0.02,100000,uniform,gt_only,1.4090377114300603,1.417764686425003,2.201596030782492,0.0001596169193934557,6265,False,,,,,,False,,,
OutsideConsistencyLossV2_iter15000,OutsideConsistencyLossV2_iter15000,blender_GTMeshExtractedInclFloor,output\OutsideConsistencyLossV2\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,7.9400597019109584,,8.07092989391935,,19.503252212039268,,7.9400597019109584,8.07092989391935,19.503252212039268,,,,0.0,,0.02,100000,uniform,gt_only,1.530058127014603,1.5989269362192107,2.2000526134972453,0.0,5669,False,,,,,,False,,,
OutsideSurfaceRegualrization_iter15000,OutsideSurfaceRegualrization_iter15000,blender_GTMeshExtractedInclFloor,output\OutsideSurfaceRegualrization\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.027477727695993,,8.172454137672501,,19.557208192476107,,8.027477727695993,8.172454137672501,19.557208192476107,,,,0.0,,0.02,100000,uniform,gt_only,1.3108358756042566,1.3271333230059796,2.2007034223470465,0.0,10258,False,,,,,,False,,,
VaseClean_FixedAllGradients_AllOn_iter15000,VaseClean_FixedAllGradients_AllOn_iter15000,blender_GTMeshExtractedInclFloor,output\VaseClean_FixedAllGradients_AllOn\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.684262227441621,,8.707550885030184,,21.70594102202407,,8.684262227441621,8.707550885030184,21.70594102202407,,,,0.0,,0.02,100000,uniform,gt_only,1.2231467352353245,1.1373818332336354,2.19728495620616,0.0,4092,False,,,,,,False,,,
VaseClean_MoveTestTBehind_iter15000,VaseClean_MoveTestTBehind_iter15000,blender_GTMeshExtractedInclFloor,output\VaseClean_MoveTestTBehind\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.703825414117487,,8.787450942910755,,21.137070511317106,,8.703825414117487,8.787450942910755,21.137070511317106,,,,0.0,,0.02,100000,uniform,gt_only,1.1073833561719721,0.9598221199721529,2.200473975690423,0.0,2410,False,,,,,,False,,,
VaseClean_NowAllOff_iter15000,VaseClean_NowAllOff_iter15000,blender_GTMeshExtractedInclFloor,output\VaseClean_NowAllOff\train\ours_15000\fuse_post.ply,C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply,,8.678516598973378,,8.831998920395264,,21.840730881102935,,8.678516598973378,8.831998920395264,21.840730881102935,,,,0.0,,0.02,100000,uniform,gt_only,1.3698003173466804,1.5149947889203992,2.202482781135945,0.0,7284,False,,,,,,False,,,
