scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;used_global_registration;global_registration_fitness;global_registration_inlier_rmse;global_registration_voxel_size
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08879563492524281;;0.060191521400620396;;0.7203601352718391;;0.08879563492524281;0.060191521400620396;0.7203601352718391;;;;0.03358;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09148589889466624;;0.06231487943686688;;0.7081093479865791;;0.09148589889466624;0.06231487943686688;0.7081093479865791;;;;0.02486;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08966772811310773;;0.06053523307260314;;0.7192293005746175;;0.08966772811310773;0.06053523307260314;0.7192293005746175;;;;0.03673;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09204709047761525;;0.062328365761453446;;0.7215303739530776;;0.09204709047761525;0.062328365761453446;0.7215303739530776;;;;0.02753;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08670776102770056;;0.06343028028825809;;0.7637301708269625;;0.08670776102770056;0.06343028028825809;0.7637301708269625;;;;0.03074;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09171194888398282;;0.06301821322860449;;0.7260748304472195;;0.09171194888398282;0.06301821322860449;0.7260748304472195;;;;0.03259;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08631344524328903;;0.06105741262102453;;0.7808890529193662;;0.08631344524328903;0.06105741262102453;0.7808890529193662;;;;0.03417;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.0908539646799173;;0.06043683997958452;;0.7870405806078643;;0.0908539646799173;0.06043683997958452;0.7870405806078643;;;;0.03378;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08625547625379013;;0.05787917811070959;;0.8047207910722187;;0.08625547625379013;0.05787917811070959;0.8047207910722187;;;;0.03698;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08406250261915588;;0.0665607855121988;;0.696210785853438;;0.08406250261915588;0.0665607855121988;0.696210785853438;;;;0.02751;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.09354770579749917;;0.06698760203018331;;0.8019964591979754;;0.09354770579749917;0.06698760203018331;0.8019964591979754;;;;0.02519;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08929564440690378;;0.0624822840559566;;0.7358080435989574;;0.08929564440690378;0.0624822840559566;0.7358080435989574;;;;0.03105;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.08977091693464646;;0.06358467246291999;;0.7937187383927874;;0.08977091693464646;0.06358467246291999;0.7937187383927874;;;;0.03006;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderCorrectPos.ply;;0.10047742047493953;;0.06001789422002715;;0.8255270540155064;;0.10047742047493953;0.06001789422002715;0.8255270540155064;;;;0.04429;;0.02;100000;uniform;gt_only;FALSE;;;;;;FALSE;;;
