scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;;
NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.4481029573277028;;0.33408151170518563;;1.837.511.646.797.520;;0.4481029573277028;0.33408151170518563;1.837.511.646.797.520;;;;0.00263;;0.01;100000;uniform;gt_only;TRUE;0.01543;0.02490689416928931;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_BRDFFull_iter15000__aligned_to__blender_gt.ply;;
NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.43833897408607425;;0.3012075398608983;;18.897.464.746.680.800;;0.43833897408607425;0.3012075398608983;18.897.464.746.680.800;;;;0.00175;;0.01;100000;uniform;gt_only;TRUE;0.01326;0.026712733289349262;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_BRDFFull-Evenfiner_iter15000__aligned_to__blender_gt.ply;;
NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.455742615586117;;0.3407840720065777;;19.054.750.829.881.700;;0.455742615586117;0.3407840720065777;19.054.750.829.881.700;;;;0.00303;;0.01;100000;uniform;gt_only;TRUE;0.01537;0.024080214004406963;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_BRDFFull-Highdetail_iter15000__aligned_to__blender_gt.ply;;
NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.4671917623481089;;0.3483261271299323;;1.968.402.258.746.810;;0.4671917623481089;0.3483261271299323;1.968.402.258.746.810;;;;0.00316;;0.01;100000;uniform;gt_only;TRUE;0.01501;0.023546103808673;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_BRDFFull-Saferfiner_iter15000__aligned_to__blender_gt.ply;;
NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.25220801573921897;;0.2129172652980273;;0.9063553815167062;;0.25220801573921897;0.2129172652980273;0.9063553815167062;;;;0.00045;;0.01;100000;uniform;gt_only;TRUE;0.00648;0.030064938707565693;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_BRDFReadyRoughness0_iter15000__aligned_to__blender_gt.ply;;
NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.347435039102523;;0.2812249211007146;;11.133.172.864.898.100;;0.347435039102523;0.2812249211007146;11.133.172.864.898.100;;;;0.00045;;0.01;100000;uniform;gt_only;TRUE;0.00665;0.02988075060044958;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_FalloffAndSpotOff_iter15000__aligned_to__blender_gt.ply;;
NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.337991775980721;;0.2562716597000828;;1.324.872.139.378.570;;0.337991775980721;0.2562716597000828;1.324.872.139.378.570;;;;0.00069;;0.01;100000;uniform;gt_only;TRUE;0.00772;0.029516895123080446;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_FalloffOff_iter15000__aligned_to__blender_gt.ply;;
NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.3538847951255331;;0.2513582781212992;;12.856.105.516.234.800;;0.3538847951255331;0.2513582781212992;12.856.105.516.234.800;;;;0.00086;;0.01;100000;uniform;gt_only;TRUE;0.0091;0.02941550179436562;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_FullBRDFOnlyCenterCam_iter15000__aligned_to__blender_gt.ply;;
NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.5705641855506539;;0.4149523318534553;;19.964.960.685.048.800;;0.5705641855506539;0.4149523318534553;19.964.960.685.048.800;;;;0.00444;;0.01;100000;uniform;gt_only;TRUE;0.01476;0.020792406004592586;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_ImproveLoss_iter15000__aligned_to__blender_gt.ply;;
NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.37615187241794995;;0.2519327532817316;;15.686.833.825.393.700;;0.37615187241794995;0.2519327532817316;15.686.833.825.393.700;;;;0.00104;;0.01;100000;uniform;gt_only;TRUE;0.01049;0.02873812329138289;0.05;100000;mesh_compare_out\aligned_reference\NewBlend_ImproveLossLastV3Finished_iter15000__aligned_to__blender_gt.ply;;
