scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics
;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.6748437183507029;1.263.011.773.412.550;0.08145879947308993;0.1976965110777993;7.937.892.638.561.810;10.086.286.508.873.800;0.6748437183507029;1.263.011.773.412.550;1.937.855.491.763.260;10.086.286.508.873.800;0.00344;0.00347;0.00345493487698987;0.01;100000;uniform;pred_gt
;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.6241649007859331;15.852.844.505.927.100;0.0713132469242252;0.25068078364816493;7.858.931.354.435.850;12.716.604.757.749.900;0.6241649007859331;15.852.844.505.927.100;22.094.493.513.786.400;12.716.604.757.749.900;0.00609;0.00597;0.006029402985074627;0.01;100000;uniform;pred_gt
;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.664373844728556;12.684.678.698.950.800;0.08165995547123191;0.20477187218598142;7.953.619.259.792.670;10.180.790.034.477.700;0.664373844728556;12.684.678.698.950.800;19.328.417.146.236.300;10.180.790.034.477.700;0.00364;0.00361;0.003624937931034483;0.01;100000;uniform;pred_gt
;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.6655961130285106;11.897.307.247.127.500;0.07440549293653531;0.15311922304986497;7.859.752.466.281.080;10.009.489.345.970.300;0.6655961130285106;11.897.307.247.127.500;18.553.268.377.412.600;10.009.489.345.970.300;0.00631;0.00632;0.006314996041171813;0.01;100000;uniform;pred_gt
;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.5339251327983342;10.238.541.466.124.200;0.07679425732075776;0.09722058764003727;8.013.262.676.467.450;10.402.800.137.321.600;0.5339251327983342;10.238.541.466.124.200;15.577.792.794.107.500;10.402.800.137.321.600;0.00356;0.00354;0.0035499718309859154;0.01;100000;uniform;pred_gt
;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4951644528783849;15.473.564.380.694.900;0.0786138152097598;0.1704877251482169;79.704.772.314.385.900;13.456.527.932.953.100;0.4951644528783849;15.473.564.380.694.900;20.425.208.909.478.700;13.456.527.932.953.100;0.00343;0.00342;0.0034249927007299267;0.01;100000;uniform;pred_gt
;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4506536440852608;1.101.255.263.269.440;0.07714289905777111;0.14462280559309704;8.064.049.333.342.200;9.736.678.653.372.720;0.4506536440852608;1.101.255.263.269.440;15.519.089.073.547.000;9.736.678.653.372.720;0.00316;0.00321;0.0031848037676609105;0.01;100000;uniform;pred_gt
;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4870298030602518;1.119.950.947.149.130;0.07323291612279942;0.10381919468250314;7.836.988.575.759.410;10.463.269.641.789.000;0.4870298030602518;1.119.950.947.149.130;16.069.807.502.093.800;10.463.269.641.789.000;0.00432;0.00434;0.004329976905311778;0.01;100000;uniform;pred_gt
;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.6631511404199358;15.728.155.350.303.500;0.08322744657294114;0.497002149084468;8.360.026.717.795.330;1.213.018.668.278.200;0.6631511404199358;15.728.155.350.303.500;22.359.666.754.502.800;1.213.018.668.278.200;0.00323;0.00321;0.003219968944099379;0.01;100000;uniform;pred_gt
;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.3904039610462417;18.195.927.035.341.200;0.09435862473651636;0.547981756188452;8.265.629.098.872.090;10.659.464.633.045.300;0.3904039610462417;18.195.927.035.341.200;22.099.966.645.803.600;10.659.464.633.045.300;0.00314;0.00316;0.003149968253968254;0.01;100000;uniform;pred_gt
;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.7206778355596044;13.707.965.085.962.300;0.08145187075724131;0.11488026693674251;7.910.379.090.107.460;10.702.459.580.452.000;0.7206778355596044;13.707.965.085.962.300;2.091.474.344.155.840;10.702.459.580.452.000;0.00357;0.00356;0.0035649929873772792;0.01;100000;uniform;pred_gt
;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4677043698140759;10.829.689.146.208.600;0.07548159002188354;0.09653492226335024;8.068.696.987.330.910;11.024.348.998.529.200;0.4677043698140759;10.829.689.146.208.600;15.506.732.844.349.300;11.024.348.998.529.200;0.00359;0.0036;0.0035949930458970786;0.01;100000;uniform;pred_gt
;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.5084043977773871;0.9530097018393766;0.08177763909740066;0.09809437988967486;8.293.116.674.733.340;8.774.841.739.942.930;0.5084043977773871;0.9530097018393766;14.614.140.996.167.600;8.774.841.739.942.930;0.00332;0.00331;0.00331499245852187;0.01;100000;uniform;pred_gt
;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.7561234221382429;18.512.029.153.936.300;0.08437745284183223;0.42398287229399445;8.192.468.156.910.180;13.686.595.086.534.100;0.7561234221382429;18.512.029.153.936.300;2.607.326.337.531.870;13.686.595.086.534.100;0.00292;0.00292;0.00292;0.01;100000;uniform;pred_gt
;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4991187186259975;1.453.804.160.063.730;0.07590262054250493;0.1540437323926518;8.218.457.023.954.260;10.808.000.138.223.000;0.4991187186259975;1.453.804.160.063.730;19.529.228.786.897.300;10.808.000.138.223.000;0.0042;0.00419;0.004194994040524434;0.01;100000;uniform;pred_gt
;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.4902012009767436;0.9614378526043381;0.07984255773826654;0.09974238166433372;8.001.919.200.844.820;10.296.541.260.446.600;0.4902012009767436;0.9614378526043381;14.516.390.535.810.800;10.296.541.260.446.600;0.00355;0.00352;0.0035349363507779356;0.01;100000;uniform;pred_gt
;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.527201912410046;1.361.196.512.149.220;0.07623040383649177;0.12455695062393729;7.938.735.694.390.520;119.835.950.198.115;0.527201912410046;1.361.196.512.149.220;1.888.398.424.559.270;119.835.950.198.115;0.00361;0.00357;0.0035898885793871865;0.01;100000;uniform;pred_gt
;NewBlendTest_WithVersionRemovedConfidenceOnly_iter15000;blender_gt;output\NewBlendTest_WithVersionRemovedConfidenceOnly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderMeshExtracted.ply;0.5580441059291578;13.928.127.752.736.100;0.0775887888783316;0.14699743128789644;781.317.501.186.812;1.102.372.573.603.620;0.5580441059291578;13.928.127.752.736.100;19.508.568.812.027.600;1.102.372.573.603.620;0.00343;0.00337;0.003399735294117647;0.01;100000;uniform;pred_gt
